"source","Adm0","month","passenger_volume","airport"
"Texas","United States of America","Apr_2021",903,"SCL"
"Parana","Brazil","Apr_2021",0,"SCL"
"Bolivia","Bolivia","Apr_2021",28,"SCL"
"Colombia","Colombia","Apr_2021",0,"SCL"
"Peru","Peru","Apr_2021",3354,"SCL"
"United Kingdom","United Kingdom","Apr_2021",0,"SCL"
"California","United States of America","Apr_2021",0,"SCL"
"Spain","Spain","Apr_2021",2800,"SCL"
"Colombia","Colombia","Apr_2021",0,"SCL"
"Argentina","Argentina","Apr_2021",0,"SCL"
"Florida","United States of America","Apr_2021",2557,"SCL"
"Uruguay","Uruguay","Apr_2021",381,"SCL"
"India","India","Apr_2021",0,"SCL"
"New York","United States of America","Apr_2021",0,"SCL"
"French Polynesia","French Polynesia","Apr_2021",0,"SCL"
"France","France","Apr_2021",1711,"SCL"
"Colombia","Colombia","Apr_2021",47,"SCL"
"Rio Grande do Sul","Brazil","Apr_2021",0,"SCL"
"Haiti","Haiti","Apr_2021",43,"SCL"
"Dominican Republic","Dominican Republic","Apr_2021",0,"SCL"
"Ecuador","Ecuador","Apr_2021",40,"SCL"
"Rio de Janeiro","Brazil","Apr_2021",40,"SCL"
"Bahia","Brazil","Apr_2021",0,"SCL"
"Argentina","Argentina","Apr_2021",0,"SCL"
"Bolivia","Bolivia","Apr_2021",166,"SCL"
"Dominican Republic","Dominican Republic","Apr_2021",0,"SCL"
"Sao Paulo","Brazil","Apr_2021",1391,"SCL"
"Australia","Australia","Apr_2021",0,"SCL"
"Peru","Peru","Apr_2021",61,"SCL"
"Netherlands","Netherlands","May_2021",397,"SCL"
"Peru","Peru","May_2021",0,"SCL"
"Praguay","Praguay","May_2021",0,"SCL"
"Georgia","United States of America","May_2021",702,"SCL"
"New Zaeland","New Zaeland","May_2021",0,"SCL"
"Spain","Spain","May_2021",0,"SCL"
"Colombia","Colombia","May_2021",0,"SCL"
"Colombia","Colombia","May_2021",996,"SCL"
"France","France","May_2021",0,"SCL"
"Australia","Australia","May_2021",0,"SCL"
"Argentina","Argentina","May_2021",1547,"SCL"
"Mexico","Mexico","May_2021",518,"SCL"
"Panama","Panama","May_2021",2280,"SCL"
"Colombia","Colombia","May_2021",NA,"SCL"
"Mexico","Mexico","May_2021",0,"SCL"
"Venezuela","Venezuela","May_2021",0,"SCL"
"Peru","Peru","May_2021",0,"SCL"
"Bolivia","Bolivia","May_2021",0,"SCL"
"Argentina","Argentina","May_2021",0,"SCL"
"Parana","Brazil","May_2021",0,"SCL"
"Texas","United States of America","May_2021",970,"SCL"
"Santa Catarina","Brazil","May_2021",0,"SCL"
"Goias","Brazil","May_2021",37,"SCL"
"Ecuador","Ecuador","May_2021",199,"SCL"
"Texas","United States of America","May_2021",894,"SCL"
"Parana","Brazil","May_2021",0,"SCL"
"Bolivia","Bolivia","May_2021",0,"SCL"
"Colombia","Colombia","May_2021",0,"SCL"
"Peru","Peru","May_2021",2383,"SCL"
"United Kingdom","United Kingdom","May_2021",0,"SCL"
"California","United States of America","May_2021",58,"SCL"
"Spain","Spain","May_2021",2577,"SCL"
"Colombia","Colombia","May_2021",44,"SCL"
"Argentina","Argentina","May_2021",0,"SCL"
"Florida","United States of America","May_2021",2735,"SCL"
"Uruguay","Uruguay","May_2021",271,"SCL"
"India","India","May_2021",0,"SCL"
"New York","United States of America","May_2021",97,"SCL"
"French Polynesia","French Polynesia","May_2021",0,"SCL"
"France","France","May_2021",1153,"SCL"
"Colombia","Colombia","May_2021",0,"SCL"
"Rio Grande do Sul","Brazil","May_2021",0,"SCL"
"Haiti","Haiti","May_2021",0,"SCL"
"Dominican Republic","Dominican Republic","May_2021",0,"SCL"
"Ecuador","Ecuador","May_2021",29,"SCL"
"Rio de Janeiro","Brazil","May_2021",55,"SCL"
"Bahia","Brazil","May_2021",0,"SCL"
"Argentina","Argentina","May_2021",0,"SCL"
"Bolivia","Bolivia","May_2021",119,"SCL"
"Dominican Republic","Dominican Republic","May_2021",0,"SCL"
"Sao Paulo","Brazil","May_2021",971,"SCL"
"Australia","Australia","May_2021",0,"SCL"
"Peru","Peru","May_2021",0,"SCL"
"Netherlands","Netherlands","June_2021",939,"SCL"
"Peru","Peru","June_2021",0,"SCL"
"Praguay","Praguay","June_2021",195,"SCL"
"Georgia","United States of America","June_2021",989,"SCL"
"New Zaeland","New Zaeland","June_2021",0,"SCL"
"Spain","Spain","June_2021",0,"SCL"
"Colombia","Colombia","June_2021",0,"SCL"
"Colombia","Colombia","June_2021",2597,"SCL"
"France","France","June_2021",0,"SCL"
"Australia","Australia","June_2021",0,"SCL"
"Argentina","Argentina","June_2021",1238,"SCL"
"Mexico","Mexico","June_2021",1014,"SCL"
"Panama","Panama","June_2021",2943,"SCL"
"Colombia","Colombia","June_2021",0,"SCL"
"Mexico","Mexico","June_2021",0,"SCL"
"Venezuela","Venezuela","June_2021",0,"SCL"
"Peru","Peru","June_2021",0,"SCL"
"Bolivia","Bolivia","June_2021",0,"SCL"
"Argentina","Argentina","June_2021",0,"SCL"
"Parana","Brazil","June_2021",0,"SCL"
"Texas","United States of America","June_2021",1846,"SCL"
"Santa Catarina","Brazil","June_2021",0,"SCL"
"Goias","Brazil","June_2021",0,"SCL"
"Ecuador","Ecuador","June_2021",178,"SCL"
"Texas","United States of America","June_2021",1416,"SCL"
"Parana","Brazil","June_2021",0,"SCL"
"Bolivia","Bolivia","June_2021",0,"SCL"
"Colombia","Colombia","June_2021",0,"SCL"
"Peru","Peru","June_2021",3831,"SCL"
"United Kingdom","United Kingdom","June_2021",0,"SCL"
"California","United States of America","June_2021",0,"SCL"
"Spain","Spain","June_2021",4721,"SCL"
"Colombia","Colombia","June_2021",0,"SCL"
"Argentina","Argentina","June_2021",0,"SCL"
"Florida","United States of America","June_2021",4775,"SCL"
"Uruguay","Uruguay","June_2021",196,"SCL"
"India","India","June_2021",0,"SCL"
"New York","United States of America","June_2021",0,"SCL"
"French Polynesia","French Polynesia","June_2021",0,"SCL"
"France","France","June_2021",2264,"SCL"
"Colombia","Colombia","June_2021",0,"SCL"
"Rio Grande do Sul","Brazil","June_2021",0,"SCL"
"Haiti","Haiti","June_2021",0,"SCL"
"Dominican Republic","Dominican Republic","June_2021",0,"SCL"
"Ecuador","Ecuador","June_2021",0,"SCL"
"Rio de Janeiro","Brazil","June_2021",117,"SCL"
"Bahia","Brazil","June_2021",0,"SCL"
"Argentina","Argentina","June_2021",0,"SCL"
"Bolivia","Bolivia","June_2021",171,"SCL"
"Dominican Republic","Dominican Republic","June_2021",0,"SCL"
"Sao Paulo","Brazil","June_2021",1141,"SCL"
"Australia","Australia","June_2021",0,"SCL"
"Peru","Peru","June_2021",0,"SCL"
"Netherlands","Netherlands","Jul_2021",1483,"SCL"
"Peru","Peru","Jul_2021",124,"SCL"
"Praguay","Praguay","Jul_2021",300,"SCL"
"Georgia","United States of America","Jul_2021",1228,"SCL"
"New Zaeland","New Zaeland","Jul_2021",0,"SCL"
