taxa	lat	long
EPI_ISL_2543524	-33.6016256916497	-70.625350900047
EPI_ISL_2543525	-29.91456109477	-71.2086018436692
EPI_ISL_2543526	-33.4422378600944	-70.7188079702271
EPI_ISL_2543527	-33.4141196057237	-70.7318093945354
EPI_ISL_2543534	-35.5219573718274	-71.6487294766199
EPI_ISL_2543540	-35.487492368041	-71.6368054480085
EPI_ISL_2543544	-18.754117670339	-69.8761846074617
EPI_ISL_2543545	-18.5889313481908	-69.8088998221655
EPI_ISL_2543547	-18.3712329628871	-70.1908635057653
EPI_ISL_2543552	-41.1552102077262	-73.3835870295328
EPI_ISL_2543553	-41.4426029586815	-72.8579925869633
EPI_ISL_2543554	-41.4574724806339	-72.7067224475321
EPI_ISL_2543557	-41.5582667815906	-72.6883959978537
EPI_ISL_2543558	-41.4242398119326	-72.7901290482685
EPI_ISL_2543566	-23.6077960946837	-70.198249187357
EPI_ISL_2543570	-36.5226236688782	-72.1709766398802
EPI_ISL_2543571	-36.4619716475829	-72.1000629676264
EPI_ISL_2543573	-36.8331425480562	-72.1026067650605
EPI_ISL_2543576	-36.4922895803543	-71.8358213842261
EPI_ISL_2543577	-36.5263487658514	-72.2467777187518
EPI_ISL_2543580	-29.760591972147	-71.2875250268082
EPI_ISL_2543581	-29.7368752176303	-71.066615892662
EPI_ISL_2543583	-32.9329710182209	-71.2890116442806
EPI_ISL_2543584	-32.8554230506501	-70.946305913619
EPI_ISL_2543585	-32.9395107702365	-71.2683425686457
EPI_ISL_2543586	-32.9294539042224	-71.214434957663
EPI_ISL_2543588	-37.0108099442581	-73.0844203373453
EPI_ISL_2543591	-36.8844073577412	-73.1173236441358
EPI_ISL_2543596	-36.9115535679774	-72.9858786811559
EPI_ISL_2543598	-38.7951937707382	-72.7419079238464
EPI_ISL_2543602	-27.4397575097626	-70.435524139298
EPI_ISL_2543607	-27.723630884076	-70.5711007997104
EPI_ISL_2543619	-46.5332439077758	-75.323671050332
EPI_ISL_2543625	-33.1144656862633	-71.5260188821304
EPI_ISL_2543626	-33.0570285835687	-71.5617714807599
EPI_ISL_2543628	-33.093259044504	-71.6076976817631
EPI_ISL_2543639	-18.3630254954984	-70.1549319452909
EPI_ISL_2543640	-18.416974842033	-70.0269381753664
EPI_ISL_2543641	-18.7866010833065	-70.2562146614357
EPI_ISL_2543648	-18.2864154381852	-69.6773440006471
EPI_ISL_2543651	-30.0991362065304	-71.2494757937326
